C=Cc1c(C)c2n3c1C=C1C(C)=C(CC)C4=N1[Mg-2]31n3c(c(C)c5c3=C(C3=N1C(=C2)C(C)C3CCC(=O)O)C(C(=O)OC)C5=O)=C4,Chlorophyllide,C02139,!Chlorophyllide!
CC(C)(C)OC(=O)NC(CC(N)=O)C(=O)Oc1ccc(N(=O)O)cc1,Boc-Asn-OPhNO2,C02138,!Boc-Asn-OPhNO2!
CCOC(=O)C(Cl)Cc1ccc(OCC(C)(C)c2ccccc2)cc1,AL-294,C17302,!AL-294!
O=C(O)c1ccc[n+](C2OC(CO)C(O)C2O)c1,Nicotinate D-ribonucleoside,C05841,!Nicotinate D-ribonucleoside!
COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,Novobiocin sodium,C12609,!Novobiocin sodium!
N#Cc1cc2[nH]c(=O)c(=O)[nH]c2cc1N(=O)O,CNQX,C13668,!CNQX!
NS(=O)(=O)c1cccc2c1c(N(=O)O)cc1[nH]c(=O)c(=O)[nH]c12,2;3-Dioxo-6-nitro-7-sulfamoylbenzo[f]quinoxaline,C13667,!2;3-Dioxo-6-nitro-7-sulfamoylbenzo[f]quinoxaline!
CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,Tropisetron,C13666,!Tropisetron!
Cc1[nH]c2ccc(O)cc2c1CCN,2-Methyl-5-hydroxytryptamine,C13665,!2-Methyl-5-hydroxytryptamine!
CN(C)(C)CCc1c[nH]c2ccc(O)cc12,Bufotenidine,C13664,!Bufotenidine!
O=c1ccn(C2OC(CO)C(OP(=O)(O)O)C2O)c(=O)[nH]1,3'-UMP,C01368,!3'-UMP!
C1CNCCN1,Piperazine citrate,C13660,!Piperazine citrate!
O=c1nc2[nH]c3ccccc3cc-2c(=O)[nH]1,Deazaflavin,C01800,!Deazaflavin!
O=CCC(O)C(O)CO,Deoxyribose,C01801,!Deoxyribose!
CC(C)=CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,Desmosterol,C01802,!Desmosterol!
CCN(Cc1ccc(S(=O)(=O)O)cc1)c1ccc(C(=C2C=CC(=N(CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccc(N(C)C)cc2)cc1,Benzyl violet 4B,C19198,!Benzyl violet 4B!
CC(C)=CCNc1ncn(CCC(N)C(=O)O)c2ncnc1-2,Discadenine,C01804,!Discadenine!
Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(O)(O)=S)C(O)C2O)c(=O)[nH]1,GTP-gamma-S,C01806,!GTP-gamma-S!
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,Auramine,C19193,!Auramine!
COc1ccccc1N,ortho-Anisidine,C19191,!ortho-Anisidine!
CCCCCCCCCCCCCCCCCCCCCC(=O)OCC1OC(OC2OC(COC(=O)CCCCCCCCCCCCCCCCCCCCC)C(O)C(O)C2O)C(O)C(O)C1O,Trehalose-6;6'-dibehenate,C19190,!Trehalose-6;6'-dibehenate!
c1ccc2c(c1)ccc1ccc3ccccc3c12,Benzo[c]phenanthrene,C19197,!Benzo[c]phenanthrene!
c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,Benzo[j]fluoranthene,C19196,!Benzo[j]fluoranthene!
C1=Cc2c3ccc4ccccc4c3cc3cccc1c23,Benz[j]aceanthrylene,C19195,!Benz[j]aceanthrylene!
N=N=CC(=O)OCC(N)C(=O)O,Azaserine,C19194,!Azaserine!
CC(CO)C1CC2C3(C)CC4(O)OC(C5C3CCC5(C)O)C2(O)C14C,Cinncassiol D1,C17652,!Cinncassiol D1!
NC(CCC(=O)NCCCC(=O)O)C(=O)O,4-(L-gamma-Glutamylamino)butanoate,C15767,!4-(L-gamma-Glutamylamino)butanoate!
CCC1CN2CCC3(C(=O)Nc4ccccc43)C2CC1C(=COC)C(=O)OC,Isorhynchophylline,C16980,!Isorhynchophylline!
Cn1ccc(=O)c(C(N)=O)c1,N1-Methyl-4-pyridone-5-carboxamide,C05843,!N1-Methyl-4-pyridone-5-carboxamide!
O=c1[nH]c(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,Xanthosine 5'-phosphate,C00655,!Xanthosine 5'-phosphate!
CC(C)=C1C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,Neoabietic acid,C11889,!Neoabietic acid!
CC(=O)NC1C(O)OC(CO)C(O)C1O,N-Acetyl-alpha-D-glucosaminide,C04019,!N-Acetyl-alpha-D-glucosaminide!
NC(CCC(=O)NCCS(=O)(=O)O)C(=O)O,5-L-Glutamyl-taurine,C05844,!5-L-Glutamyl-taurine!
COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O,Ubiquinone-6,C17568,!Ubiquinone-6!
CNC1C(OC2C3=CC#CC4OC4(C4COC(=O)O4)C#CC3=CC2OC(=O)c2c(O)ccc3c(C)cc(OC)cc23)OC(C)C(O)C1O,Neocarzinostatin chromophore,C12049,!Neocarzinostatin chromophore!
O=N(O)c1cc(C(F)(F)F)c(Cl)c(N(=O)O)c1Nc1ncc(C(F)(F)F)cc1Cl,Fluazinam,C18578,!Fluazinam!
CC(=NNc1nc(C)cc(C)n1)c1ccccc1C,Ferimzone,C18579,!Ferimzone!
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,Rifamycin,C12044,!Rifamycin!
COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)C)C1(C)OC1C(C)C1CC(O)(NC(=O)O1)C(OC)C=CC=C(C)C2,Ansamitocin P-3,C12045,!Ansamitocin P-3!
COC1CCC(OC2CC(C3(C)CCC4(CC(O)C(C)C(C(C)C=C(C)C(=O)C(C)CC(C)C(=O)O)O4)O3)OC3(OC(C4OC(O)(CO)C(C)CC4C)CC3C)C2C)OC1C,Nanchangmycin,C12047,!Nanchangmycin!
Cc1oc2nc1-c1nc(co1)-c1nc(co1)-c1nc(co1)-c1nc(co1)-c1nc(co1)C1=NC(CS1)c1nc-2c(C)o1,Telomestatin,C12040,!Telomestatin!
CCCCCCCCCCCCCC(O)CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1Cc2ccc(cc2)OC(=O)C(C(C)CC)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCC(N)=O)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)O)NC1=O,Fengycin,C12042,!Fengycin!
CC(C)CCCCCCCCCC1CC(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O1,Surfactin,C12043,!Surfactin!
COC1C(O)C(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Thevetin B,C08856,!Thevetin B!
COc1cc2c(cc1O)C(Cc1ccc(O)cc1)NCC2,(R)-Coclaurine,C06349,!(R)-Coclaurine!
Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1,(R;S)-Norcoclaurine,C06346,!(R;S)-Norcoclaurine!
Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1,(R)-Norcoclaurine,C06347,!(R)-Norcoclaurine!
Cc1cc2ccccc2nc1O,3-Methyl-quinolin-2-ol,C06345,!3-Methyl-quinolin-2-ol!
Oc1ccc2cccc(O)c2n1,Quinolin-2;8-diol,C06342,!Quinolin-2;8-diol!
Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2,Coproporphyrinogen III,C03263,!Coproporphyrinogen III!
CC(CO)CCCC(C)C1CCC2C3C(O)C=C4CC(O)CCC4(C)C3CCC12C,7alpha;27-Dihydroxycholesterol,C06341,!7alpha;27-Dihydroxycholesterol!
CC=C(C)C(=O)OC1CC(OC(C)=O)C2(C)COC3C4OC5CC(c6ccoc6)C(C)=C5C4(C)C(CC(=O)OC)C1(C)C32,Salannin,C08780,!Salannin!
CC1=CC(=O)C2(C)C1=CC(=O)C13COC4(C)C(OC(=O)C41)C(O)C23,Samaderin A,C08781,!Samaderin A!
COC(=O)C12OCC34C(CC5C(C)C6=CC(=O)OC6=CC5(C)C3C(O)C1O)OC(=O)C(OC(C)=O)C24,Sergeolide,C08782,!Sergeolide!
CCC(C)C(=O)OC1C(=O)OC2CC3C(C)=CC(=O)C(O)C3(C)C3C(O)C(O)C4(C)OCC23C14,Simalikilactone D,C08783,!Simalikilactone D!
CC1=CC(=O)C(O)C2(C)C1CC1OC(=O)C(OC(=O)CC(C)(C)O)C3C(C)C(O)C4(O)OCC13C42,Soularubinone,C08784,!Soularubinone!
C=C1C(C2(C)C=CC(=O)C(C)(C)C2CC(=O)OC)C(OC(C)=O)C(OC(C)=O)C2(C)C(c3ccoc3)CC3OC132,Toonacilin,C08785,!Toonacilin!
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,Hexachlorophene,C08039,!Hexachlorophene!
CC1(C)OC(=O)C=CC2(C)C1CC(=O)C1(C)C2C(O)CC2(C)C(c3ccoc3)OC(=O)C3OC321,Zapoterin,C08788,!Zapoterin!
CN(C)Cc1ccccc1,Benzalkonium chloride,C08037,!Benzalkonium chloride!
CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)C(CSC3CN4CCC3CC4)CN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,Quinupristin-dalfopristin,C08034,!Quinupristin-dalfopristin!
CC(=O)OC1CC(C)OC(OC2CCC3(C=O)C4C(O)C(=O)C5(C)C(c6ccc(=O)oc6)CCC5(O)C4CCC3(O)C2)C1O,Bryotoxin A,C08853,!Bryotoxin A!
CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)C(CSC3CN4CCC3CC4)CN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,Quinupristin,C08032,!Quinupristin!
CCN(CC)CCS(=O)(=O)C1CCN2C(=O)c3coc(n3)CC(=O)CC(O)C=C(C)C=CCNC(=O)C=CC(C)C(C(C)C)OC(=O)C12,Dalfopristin,C08033,!Dalfopristin!
CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C,Erythromycin estolate,C08031,!Erythromycin estolate!
CC12CCC(Cl)CC1=CCC1C2CCC2(C)C1CCC2N(CCCl)CCCl,3beta-Chloro-N;N-bis(2-chloroethyl)-androst-5-en-17beta-amine,C14914,!3beta-Chloro-N;N-bis(2-chloroethyl)-androst-5-en-17beta-amine!
CC12CCC3C(CCC4CC(=C5C=CC=C5)CCC43C)C1CCC2O,3-(2;4-Cyclopentadien-1-ylidene)-5alpha-androstan-17beta-ol,C14915,!3-(2;4-Cyclopentadien-1-ylidene)-5alpha-androstan-17beta-ol!
CCC1(c2ccccc2)NC(=O)NC1=O,Nirvanol,C14916,!Nirvanol!
CC12CC(=O)C3(SC#N)C(CCC4=CC(=O)CCC43C)C1CCC2=O,9-Thiocyanato-androst-4-ene-3;11;17-trione,C14917,!9-Thiocyanato-androst-4-ene-3;11;17-trione!
CC12CCC(=O)C(F)(F)C1=CCC1C2CCC2(C)C1CCC2(C)O,4;4-Difluoro-17beta-hydroxy-17alpha-methyl-androst-5-en-3-one,C14910,!4;4-Difluoro-17beta-hydroxy-17alpha-methyl-androst-5-en-3-one!
CC12CCC3C(CCC4CC(=O)OCC43C)C1CCC2O,17beta-Hydroxy-2-oxa-5alpha-androstan-3-one,C14911,!17beta-Hydroxy-2-oxa-5alpha-androstan-3-one!
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC(=O)O2,1;2;4;5-Tetrahydrotestolactone,C14912,!1;2;4;5-Tetrahydrotestolactone!
CC(=O)OC1CCC2C3CCC4OC(=O)CCC4(C)C3CCC12C,17beta-Hydroxy-4-oxa-5alpha-androstan-3-one acetate,C14913,!17beta-Hydroxy-4-oxa-5alpha-androstan-3-one acetate!
[Cu+2],Copper hydroxide,C18712,!Copper hydroxide!
Oc1ccc2c(c1)OC1c3ccc(O)cc3OCC21,3;9-Dihydroxypterocarpan,C04271,!3;9-Dihydroxypterocarpan!
CC(C)(O)C(O)C(=O)O,(R)-2;3-Dihydroxy-3-methylbutanoate,C04272,!(R)-2;3-Dihydroxy-3-methylbutanoate!
N#CC(OC1OC(CO)C(O)C(O)C1O)c1ccccc1,(S)-Mandelonitrile beta-D-glucoside,C04273,!(S)-Mandelonitrile beta-D-glucoside!
O=N(O)c1ccc(OCC2CO2)cc1,1;2-Epoxy-3-(p-Nitrophenoxy)propane,C04274,!1;2-Epoxy-3-(p-Nitrophenoxy)propane!
COc1cc(C=CC(=O)OC2OC(CO)C(O)C(O)C2OC(=O)C=Cc2cc(OC)c(O)c(OC)c2)cc(OC)c1O,1;2-Bis-O-sinapoyl-beta-D-glucose,C04275,!1;2-Bis-O-sinapoyl-beta-D-glucose!
O=C1CCCCCNC(=O)CCCCCN1,1;8-Diazacyclotetradecane-2;9-dione,C04277,!1;8-Diazacyclotetradecane-2;9-dione!
C=C(C)C(CC=C(C)C)CC12CC(CC=C(C)C)C(C)(C)C(CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O,Garcinol,C09929,!Garcinol!
COc1cc2c(cc1C)C(=O)C(C)CC2O,Flossonol,C09928,!Flossonol!
COc1cc(C)c(Oc2cc(C)cc(O)c2)c(O)c1,Cyperine,C09923,!Cyperine!
COc1cc(C2Oc3c(OC)cc4ccc(=O)oc4c3OC2CO)ccc1O,Cleomiscosin A,C09922,!Cleomiscosin A!
CCCC=C1OC(=O)c2c(O)cccc21,3-Butylidene-7-hydroxyphthalide,C09921,!3-Butylidene-7-hydroxyphthalide!
Oc1ccc2c(c1)OCC1(O)Cc3cc(O)c(O)cc3C21,Brazilin,C09920,!Brazilin!
CC(C)CC1c2c(O)c(C=O)c(O)c(C=O)c2OC2(C)C=CC(C(C)C)CC12,Euglobal-Ia1,C09927,!Euglobal-Ia1!
COC1=CC(=O)OC(CCc2ccc3c(c2)OCO3)C1,Dihydromethysticin,C09926,!Dihydromethysticin!
COc1cc(C=Cc2ccccc2)oc(=O)c1,5;6-Dehydrokawain,C09925,!5;6-Dehydrokawain!
COc1cc(C2Oc3ccc4ccc(=O)oc4c3OC2CO)cc(OC)c1O,Daphneticin,C09924,!Daphneticin!
CC(=O)NC(C(=O)O)C(O)C(O)C(O)CO,N-Acetylgalactosaminate,C03408,!N-Acetylgalactosaminate!
N=CNC(CC(=O)O)C(=O)O,N-Formimino-L-aspartate,C03409,!N-Formimino-L-aspartate!
CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(OC(C)=O)CCC32)C1,5alpha-Androstane-3beta;17beta-diol diacetate,C15346,!5alpha-Androstane-3beta;17beta-diol diacetate!
CN12CCc3cc4c(cc3C1Cc1ccc3c(c1C2)OCO3)OCO4,(S)-cis-N-Methylstylopine,C06163,!(S)-cis-N-Methylstylopine!
OCC1OC(O)C(O)C(O)C1O,Glycoside of aldohexose,C03400,!Glycoside of aldohexose!
NCC(N)C(=O)O,L-2;3-Diaminopropanoate,C03401,!L-2;3-Diaminopropanoate!
N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O,N-(L-Arginino)succinate,C03406,!N-(L-Arginino)succinate!
COc1ccc(CC2=N(C)CCc3cc(OC)c(O)cc32)cc1O,1;2-Dehydroreticuline,C06167,!1;2-Dehydroreticuline!
COC(=O)C(N)Cc1ccc(O)cc1,L-Tyrosine methyl ester,C03404,!L-Tyrosine methyl ester!
COc1cc2c3c(OC)cc4c(c3c[n+](C)c2c2cc3c(cc12)OCO3)OCO4,Macarpine,C06165,!Macarpine!
CCCc1cc(=O)[nH]c(=S)[nH]1,Propylthiouracil,C07569,!Propylthiouracil!
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,Ziprasidone,C07568,!Ziprasidone!
CCCCCCC=CCC(=O)S,cis-Dec-3-enoyl-[acp],C04180,!cis-Dec-3-enoyl-[acp]!
CC(C)(O)C(=O)C(=O)O,3-Hydroxy-3-methyl-2-oxobutanoic acid,C04181,!3-Hydroxy-3-methyl-2-oxobutanoic acid!
O=C(O)CC(=CC=C(O)C(=O)O)C(=O)O,5-Carboxymethyl-2-hydroxymuconate,C04186,!5-Carboxymethyl-2-hydroxymuconate!
Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1N,5-Methyldeoxycytidine diphosphate,C04187,!5-Methyldeoxycytidine diphosphate!
O=C(O)c1cc2cc(O)c(O)cc2[nH]1,5;6-Dihydroxyindole-2-carboxylate,C04185,!5;6-Dihydroxyindole-2-carboxylate!
ClC(Cl)(Cl)Cl,Carbon tetrachloride,C07561,!Carbon tetrachloride!
CSCC1OC(OP(=O)(O)O)C(O)C1O,S-Methyl-5-thio-D-ribose 1-phosphate,C04188,!S-Methyl-5-thio-D-ribose 1-phosphate!
OCC1OC(OC2C(OC3(CO)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,Umbelliferose,C08251,!Umbelliferose!
CC(=O)Nc1ccccc1,Acetanilide,C07565,!Acetanilide!
CCCN(CCC)CCc1cccc2c1CC(=O)N2,Ropinirole,C07564,!Ropinirole!
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,Sertindole,C07567,!Sertindole!
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Pimozide,C07566,!Pimozide!
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)O,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C00692,!UDP-N-acetylmuramoyl-L-alanyl-D-glutamate!
O=C1C(O)C(O)C(O)C(O)C1O,2;4;6/3;5-Pentahydroxycyclohexanone,C00691,!2;4;6/3;5-Pentahydroxycyclohexanone!
CCCCCC(O)C=CC1C(=O)CC(O)C1CC=CCCCC(=O)O,Prostaglandin D2,C00696,!Prostaglandin D2!
N#N,Nitrogen,C00697,!Nitrogen!
CC(=O)NC1COC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O,beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R,C00694,!beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R!
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,Cholic acid,C00695,!Cholic acid!
[Cl-],Cl-,C00698,!Cl-!
C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,Microcystin LR,C05371,!Microcystin LR!
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C,FMN,C00061,!FMN!
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,Sudan II,C19526,!Sudan II!
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1ccc(=O)oc1,Hellebrigenin,C16969,!Hellebrigenin!
NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2Cl)CC12CC2,DU-6859,C11248,!DU-6859!
CC1=C2N3=C(C=C4N5C(=CC6=N7C(=C(CCC(=O)O)C6CC(=O)O)Cc6c(CCC(=O)O)c(CC(=O)O)c1n6[Co-2]573)C(CCC(=O)O)C4(C)CC(=O)O)C(CCC(=O)O)C2(C)CC(=O)O,Cobalt-precorrin 3,C11539,!Cobalt-precorrin 3!
CC1(CC(=O)O)C2=CC3=N4C(=Cc5c(CC(=O)O)c(CCC(=O)O)c6n5[Co-2]45N2C(=CC2=N5C(=C6)C(CCC(=O)O)=C2CC(=O)O)C1CCC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O,Cobalt-sirohydrochlorin,C11538,!Cobalt-sirohydrochlorin!
Cc1cnc2ccc3c(nc(N)n3C)c2n1,MeIQx,C19255,!MeIQx!
CC=C1C2=NC(=Cc3c(C(C)=O)c(C)c4n3[Mg]n3c(c(C)c5c3=C(C3=NC(=C4)C(C)C3CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(C(=O)OC)C5=O)=C2)C1C,Bacteriochlorophyll b,C11243,!Bacteriochlorophyll b!
CCC1C2=N3C(=Cc4c(C(C)=O)c(C)c5n4[Mg-2]34n3c(c(C)c6c3=C(C3=N4C(=C5)C(C)C3CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C(C(=O)OC)C6=O)=C2)C1C,Bacteriochlorophyll a,C11242,!Bacteriochlorophyll a!
CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,3-Hydroxyoctadecanoyl-CoA,C16217,!3-Hydroxyoctadecanoyl-CoA!
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,Rufloxacin,C11240,!Rufloxacin!
CC(CCC(=O)O)C1CCC2C3CC(OC4OC(C(=O)O)C(O)C(O)C4O)C4CC(O)CCC4(C)C3CCC12C,6alpha-Glucuronosylhyodeoxycholate,C11246,!6alpha-Glucuronosylhyodeoxycholate!
Oc1cc2ccccc2cc1O,2;3-Dihydroxynaphthalene,C16213,!2;3-Dihydroxynaphthalene!
O=C(O)c1cc2ccccc2cc1O,3-Hydroxy-2-naphthoate,C16212,!3-Hydroxy-2-naphthoate!
CC1CN1,2-Methylaziridine,C19257,!2-Methylaziridine!
BrC1=CC2OC2C=C1,Bromobenzene-3;4-oxide,C14839,!Bromobenzene-3;4-oxide!
CC1=C(Cl)C(=CC(=O)O)OC1=O,3-Chloro-2-methyldienelactone,C18309,!3-Chloro-2-methyldienelactone!
O=CO,Carboxylate,C00060,!Carboxylate!
CC1=C(Cl)C(C(Cl)C(=O)O)OC1=O,3;5-Dichloro-2-methylmuconolactone,C18308,!3;5-Dichloro-2-methylmuconolactone!
Cc1cc(C(=C2C=CC(=N)C=C2)c2ccc(N)cc2)ccc1N,Magenta,C19252,!Magenta!
